events1;user_id;User Id;Data type;qualitative;[62 113 191 …6912];
;ga_session_id;Session Id of Google Analytics;Whole numbre;qualitative;[1,2,3...2689];
;country;Country;Text;qualitative;[ 'AE' 'AL' … 'VN' XK' 'ZA'];109 distinct values 
;device;Device access;Text;qualitative;['mobile' 'desktop' 'tablet'];3 distinct values
;type;Type of user action;Text;qualitative;[ 'add_to_cart', 'begin_checkout','purchase'];3 values
;item_id;Item Id;Whole number;qualitative;[0    1    2 ... 999];
;date;Date of session;date/time;timeseries;['29/11/2020 12:05:14' … '30/01/2021 14:42:10'];
;;;;;;
items;id;item Id;Whole number;qualitative;[0    1    2 ... 999];
;name;Name of items;Text;qualitative;['Google Women's Kirkland Pullover', Google Beekeepers Onesie Pink];
;brand;Brand of items;Text;qualitative;['Google' '#IamRemarkable', 'Android', 'YouTube', 'Google Cloud'];5 distinct values
;variant;Variant of items;Text;qualitative;['12/18 MONTHS', '12M', 'No options available'];"45 values (size, 
color, age,…)"
;category;Category of items;Text;qualitative;['Accesorios', 'Apparel','Bags',  … 'Eco-Friendly' 'Gift Cards'];21 values
;price_in_usd;Price in USD;Whole number;quantitative;[1 15 63… 313];
;;;;;;
users;id;User Id;Whole number;qualitative;[62 113 191 …6912];
;ltv;Lifetime value (USD);Whole number;quantitative;[85   40   33 … 352  523 1200];
;date;User creation date;datetime;timeseries;['1/01/1970 00:00:00' … '23/05/2020 08:34:20'];
